#238 - Essex
#+part of Cambridgeshire

owner = ENG
controller = ENG
culture = english
religion = catholic
hre = no
base_tax = 7
base_production = 8
trade_goods = cloth
base_manpower = 4
capital = "Chelmsford"
is_city = yes
add_core = ENG



discovered_by = western
discovered_by = muslim
discovered_by = ottoman
discovered_by = eastern






1444.1.1 = {    owner = XXX
                controller = XXX
                citysize = 0
                base_tax = 1
                base_production = 1
                base_manpower = 1} # Final Death is complete, this makes the provence empty
