#Upper Oka Basin

owner = OKA #Controlled by various small Principalities shifting allegience between Muscovy and Lithuania
controller = OKA 
culture = ryazanian
religion = orthodox
hre = no
base_tax = 3
base_production = 3
trade_goods = grain 
base_manpower = 3
capital = "Odayev"
is_city = yes
add_core = OKA
discovered_by = western
discovered_by = eastern
discovered_by = muslim
discovered_by = ottoman
discovered_by = nomad_group


1444.1.1 = {    owner = XXX
                controller = XXX
                citysize = 0
                base_tax = 1
                base_production = 1
                base_manpower = 1} # Final Death is complete, this makes the provence empty
